timestamp,year,month,day,hour,ticker,open,high,low,close,price_change,volume
2024-12-12,2024,12,3,0,SOLUSDT,227.29,234.69,225.67,226.96,-0.14518896563860448,3559104.067
2024-12-13,2024,12,4,0,SOLUSDT,226.95,228.44,220.6,224.79,-0.9517514871116971,2889526.771
2024-12-14,2024,12,5,0,SOLUSDT,224.79,227.51,215.13,219.93,-2.162017883357794,2155654.471
2024-12-15,2024,12,6,0,SOLUSDT,219.94,225.5,215.68,224.27,1.9687187414749534,2130908.009
2024-12-16,2024,12,0,0,SOLUSDT,224.26,227.56,213.26,216.19,-3.5985017390528817,3863409.201
2024-12-17,2024,12,1,0,SOLUSDT,216.19,228.95,211.36,223.15,3.2193903510800723,5177736.748
2024-12-18,2024,12,2,0,SOLUSDT,223.16,226.04,204.8,206.53,-7.452052339128874,5565926.563
2024-12-19,2024,12,3,0,SOLUSDT,206.53,212.14,187.0,193.81,-6.15891153827531,7402649.886
2024-12-20,2024,12,4,0,SOLUSDT,193.82,199.81,175.26,194.48,0.3405221339387043,9793383.668
2024-12-21,2024,12,5,0,SOLUSDT,194.48,201.98,178.3,181.45,-6.699917729329495,5243572.617
2024-12-22,2024,12,6,0,SOLUSDT,181.46,187.87,176.88,180.52,-0.5180205003857586,3573368.972
2024-12-23,2024,12,0,0,SOLUSDT,180.53,193.48,176.48,190.11,5.30659724145572,4217664.03
2024-12-24,2024,12,1,0,SOLUSDT,190.12,199.0,186.13,197.09,3.6661056175047326,2709577.672
2024-12-25,2024,12,2,0,SOLUSDT,197.09,201.85,195.0,197.44,0.17758384494393134,1958644.487
2024-12-26,2024,12,3,0,SOLUSDT,197.45,199.71,186.54,188.46,-4.553051405419084,2045566.1
2024-12-27,2024,12,4,0,SOLUSDT,188.46,194.39,182.74,184.22,-2.249814284198243,1946509.645
2024-12-28,2024,12,5,0,SOLUSDT,184.22,196.1,183.82,195.5,6.123113668439909,1494847.867
2024-12-29,2024,12,6,0,SOLUSDT,195.5,197.71,188.57,189.94,-2.8439897698209733,1560190.019
2024-12-30,2024,12,0,0,SOLUSDT,189.94,196.47,185.89,191.38,0.7581341476255647,2415985.488
2024-12-31,2024,12,1,0,SOLUSDT,191.37,199.27,188.04,189.31,-1.076448764174114,2461978.262
2025-01-01,2025,1,2,0,SOLUSDT,189.31,195.33,188.0,194.28,2.625323543394432,1655160.102
2025-01-02,2025,1,3,0,SOLUSDT,194.28,210.48,193.43,208.31,7.221535927527281,3224923.982
2025-01-03,2025,1,4,0,SOLUSDT,208.3,219.83,205.63,217.99,4.651944311089773,3251086.556
2025-01-04,2025,1,5,0,SOLUSDT,218.0,218.18,213.54,216.67,-0.6100917431192718,1943711.39
2025-01-05,2025,1,6,0,SOLUSDT,216.67,219.05,211.46,213.41,-1.504592237042503,2101040.545
2025-01-06,2025,1,0,0,SOLUSDT,213.41,223.18,211.56,218.22,2.2538775127688497,2855362.858
2025-01-07,2025,1,1,0,SOLUSDT,218.22,219.11,201.8,202.17,-7.354962881495744,3742298.284
2025-01-08,2025,1,2,0,SOLUSDT,202.17,203.28,188.34,197.48,-2.3198298461690645,4446830.23
2025-01-09,2025,1,3,0,SOLUSDT,197.48,199.06,182.0,184.95,-6.344946323678348,3607147.193
2025-01-10,2025,1,4,0,SOLUSDT,184.96,193.02,183.51,187.68,1.4705882352941169,3642892.082
