timestamp,year,month,day,hour,ticker,open,high,low,close,price_change,volume,return,rolling_vol,volatility_7d,volume_change,vol_regime,extreme_down,extreme_up,vol_regime_change,vol_expansion,extreme_streak,volume_zscore,volume_spike,breakout_signal,atr_14,adx,rsi,sma_30d,bb_width,rsi_oversold_extreme,rsi_overbought_extreme,market_stress,death_cross_ema,target_return,target,bayes_buy_signal,bayes_sell_signal,breakout_high_7d
2024-06-18,2024,6,1,0,SOLUSDT,143.28,143.82,127.95,137.41,-4.096873255164716,6557976.71,-1.3026708390946773,5.335591817203563,2.74651554138105,-0.4606907550301441,1,0,0,1,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,1,-1.3026708390946773,0,0,2,0
2024-06-19,2024,6,2,0,SOLUSDT,137.41,141.9,134.47,135.62,-1.3026708390946744,3536777.468,-1.3026708390946773,5.335591817203563,2.74651554138105,-0.4606907550301441,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,-1.5263235510986517,0,0,0,0
2024-06-20,2024,6,3,0,SOLUSDT,135.62,141.29,131.9,133.55,-1.5263235510986528,3507680.508,-1.5263235510986517,5.335591817203563,2.74651554138105,-0.4606907550301441,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,0.7862223886184738,0,0,0,0
2024-06-21,2024,6,4,0,SOLUSDT,133.55,135.38,128.76,134.6,0.7862223886184821,3230074.027,0.7862223886184738,5.335591817203563,2.74651554138105,-0.008226969398912654,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,-0.6760772659732517,1,0,0,0
2024-06-22,2024,6,5,0,SOLUSDT,134.61,136.74,133.0,133.69,-0.6834559096649697,1399215.891,-0.6760772659732517,5.335591817203563,2.74651554138105,-0.07914246476178788,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,-3.7399955120053896,0,0,0,0
2024-06-23,2024,6,6,0,SOLUSDT,133.7,135.09,128.22,128.69,-3.747195213163794,1492401.231,-3.7399955120053896,5.335591817203563,2.74651554138105,-0.5668161536534344,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,2.828502603154881,0,0,0,0
2024-06-24,2024,6,0,0,SOLUSDT,128.68,132.66,122.0,132.33,2.836493627603361,5583497.777,2.828502603154881,5.335591817203563,2.74651554138105,0.06659825735212421,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,3.2116678001964827,1,0,0,0
2024-06-25,2024,6,1,0,SOLUSDT,132.34,139.9,131.2,136.58,3.20386882272934,3963661.704,3.2116678001964827,5.335591817203563,2.74651554138105,2.7412846230760044,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,0.16839947283642243,1,0,0,0
2024-06-26,2024,6,2,0,SOLUSDT,136.57,140.41,134.85,136.81,0.1757340557955694,2503428.066,0.16839947283642243,5.335591817203563,2.571951269626503,-0.2901113491389862,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,9.429135297127411,1,0,0,0
2024-06-27,2024,6,3,0,SOLUSDT,136.81,151.21,135.2,149.71,9.429135297127408,4450967.436,9.429135297127411,5.335591817203563,2.7615997779065293,-0.3684052139279139,1,0,0,0,0,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,-6.465833945628219,1,0,0,1
2024-06-28,2024,6,4,0,SOLUSDT,149.71,150.84,139.01,140.03,-6.465833945628219,3339031.267,-6.465833945628219,5.335591817203563,6.622357154798773,0.7779490037881518,1,0,0,0,1,0,-0.40233202719890515,0,False,8.091428571428578,11.800949752895034,64.96757925072048,140.92600000000002,0.19632050124151174,0,0,0,0,0.17853317146325764,0,0,1,0
